Comment_ID,Author_ID,Author,Text,Likes,Comment_Date
7388151146257056517,6859315421087482882,nurrrrhhhhh,"terakhir ke situ ps masi sd, gatau lupa tahunnya😫🤌🏻",5,2024-07-05T21:00:05Z
7389058857220276998,7091685988343055362,azwaranasmantanme,"semoga ramai lagi.
ayo bikin inovasi lagi",3,2024-07-08T07:42:50Z
7388389630662836998,6739806920699610113,dhepy_elliya,padahal bjoku wong kokap. tp blass drg tau ng kalibiru😅.,3,2024-07-06T12:25:38Z
7388580352405979910,7027026431193285658,lazadonn,"aku warga kp wae wes krungu wong do omong, foto sitik bayar marai kagol rono😂",2,2024-07-07T00:45:39Z
7388143019055366917,7258158449745609733,antonmunir578,waduk sermo.kelihatan,2,2024-07-05T20:56:51Z
7388362191735866117,7258626758391432193,nunk_tante67,"blom pernah ksana, takut yg tinggi2",2,2024-07-06T10:39:08Z
7388405182445044486,6835244556469683202,jofaniseptiawan,"saya sopir pocok'an....iya blas gak masuk list wisata skrng,Mudal sama Tumpeng yg masih ramai",2,2024-07-06T14:13:20Z
7388138674897208069,6926348691280610306,aryalokaa,Terakhir kesini 2017 apa ya 🥹,2,2024-07-05T20:11:43Z
7388427007082545926,6916651391369741314,wongedan672,pernah pertama kali taun 2019..sm mantan😄,1,2024-07-06T14:50:37Z
7388140266526671621,7313130939570668550,travelviesta,padahal primadoba banhet itu,1,2024-07-05T20:17:53Z
7388415777618232069,6920280629520040961,arief_rp1,kenangan apa si yang kalian ingat di kalibiru 😌,1,2024-07-06T14:07:05Z
7388482710111699730,7309466475399939073,nitafby,Ng kalibiru ngejak knco” seko Kebumen dolan ktmu ng ng malaysia podo” ngerantau mbiyen,1,2024-07-06T18:26:36Z
7388412886991684358,7207803413504328706,agustianafitri072,pernah 2 kali kesana duluuu sekali... banyak pengunjung nya...,1,2024-07-06T13:55:50Z
7388506594559017734,7252372202396337154,har1206q,1 neng X biru karo pule payung,1,2024-07-06T19:59:25Z
7388139974648251142,7108315439998370843,ur.laaa_,🙂🙂🙂,1,2024-07-05T20:16:39Z
7389564508287189766,7372616461825721350,annik7911,setiap spot berbayar ..kesitu pas hujan jd awalnya viewnya tertutup kabut ..nunggu bbrp saat br bs fto2,0,2024-07-09T16:24:39Z
7395870403589489414,7312463717924897798,_cizcake,Kak untuk keliatan jelas waduk sermo disana kira-kira jam berapa ya?,0,2024-07-26T16:14:57Z
7395563118841070341,7149188875214046234,user1005465439800,aku sek cerakkke memeng rono,0,2024-07-25T20:22:17Z
7389618760774599429,7252372202396337154,har1206q,dibikin camping ground ciba untuk menarik wisatawan menawarkan sunrise dan sunsetnya semoga bisa kembali kaya dulu,0,2024-07-09T19:55:09Z
7388516063413699334,7204303536154313729,gendukmery,"semasa msih school SD prnh ke sana jln kaki bawa bibit tanaman...stlh itu smpe skrng blm ke sana lagi,mlh maennya Ke Pule payung..",0,2024-07-06T21:26:43Z
7389230101558510342,7048609462614311938,ahmadwisanggeni7,blm pernah ke situ ya ga punya kenangan,0,2024-07-08T18:46:57Z
7388419128136712965,7048561442002109442,adhydot717,kenangannya dulu pas ngojek dari ringen,0,2024-07-06T14:19:56Z
7388459512540201734,6999883408319874049,xxdasdacdaxz,akses jalan yg ekstrim dan sempit,0,2024-07-06T16:56:44Z
7388395227683865350,6821753370199737345,sigpam,10 menit seko ngomahku. tapi lagi 2x kesitu😂,0,2024-07-06T12:47:22Z
7390332265133703941,6962320203947197442,satriodnd,"ayo di dandani,gawe sik sip 😁",0,2024-07-11T18:49:49Z
7388470900402782981,6900063775446434817,tinitahalam,Mari menepi di Tinitah ❤🥰😅,0,2024-07-06T17:40:57Z
7388433688608817925,7251452148130415621,wuaiwi3,dikarenakan takut tinggi banget🤗,0,2024-07-06T15:16:26Z
7388457897741468421,7177319246363034625,rumie58,kenangan mbi mantan 😅,0,2024-07-06T16:50:32Z
7388529656607802118,6622269670862405633,kangsunar_93,pindah kidul gunung 😁😁,0,2024-07-06T21:28:52Z
7388502915948020485,6692621775316730882,zundi_arto,q kerep liwat tp malah rung tau mlebu Rono 😂,0,2024-07-06T19:45:05Z
7388449470365893381,6857336682381018113,tewe87_,le munggah ngos2an..nk kon ndono neh ws ora wae🤣🤣🤣🤣,0,2024-07-06T16:56:20Z
7388475440338060037,6795824603962950658,nadianabila1417,pernah kesini jaman si papa @NALA CRAFT PDKT 😂,0,2024-07-06T17:58:28Z
7388439828835123973,7052720372877919233,rompesan.kobis,@rayyn26 @triyuliyanto.owner 😅😅😅,0,2024-07-06T15:40:23Z
7388642919719027462,6976841859247113217,lycheeyantiecuxa,5thn yg lalu udah kesana,0,2024-07-07T04:48:37Z
7391865886108746502,7085375806315283482,nevertarivivi7,Kalibiru saksi bisu koe ro aku @R3dbe4n🫘,0,2024-07-15T21:15:20Z
